Processes,Seed,Repeat,RuntimeSeconds,BestDistance,GapPercent
1,1001,1,6.895610,7542,0.000000
1,2002,2,6.962725,7542,0.000000
1,3003,3,6.891671,7542,0.000000
1,4004,4,6.898861,7542,0.000000
1,5005,5,6.889222,7542,0.000000
2,1001,1,3.579531,7542,0.000000
2,2002,2,3.585688,7542,0.000000
2,3003,3,3.602314,7542,0.000000
2,4004,4,3.583639,7542,0.000000
2,5005,5,3.597674,7542,0.000000
4,1001,1,1.912703,7542,0.000000
4,2002,2,1.921065,7542,0.000000
4,3003,3,1.911768,7542,0.000000
4,4004,4,1.921322,7542,0.000000
4,5005,5,1.913268,7542,0.000000
8,1001,1,1.088845,7542,0.000000
8,2002,2,1.090860,7542,0.000000
8,3003,3,1.090524,7542,0.000000
8,4004,4,1.090705,7542,0.000000
8,5005,5,1.091005,7542,0.000000
12,1001,1,0.845819,7542,0.000000
12,2002,2,0.850335,7542,0.000000
12,3003,3,0.849661,7542,0.000000
12,4004,4,0.850782,7542,0.000000
12,5005,5,0.849353,7542,0.000000
24,1001,1,0.643941,7542,0.000000
24,2002,2,0.644173,7542,0.000000
24,3003,3,0.624938,7542,0.000000
24,4004,4,0.636741,7542,0.000000
24,5005,5,0.634184,7542,0.000000
